Symbol,Date,Action,Price,Next_Close,PnL
TATAELXSI,1970-01-01 00:00:00.000000098,HOLD,5451.0,5469.5,0
TATAELXSI,1970-01-01 00:00:00.000000099,HOLD,5469.5,5553.5,0
TATAELXSI,1970-01-01 00:00:00.000000100,HOLD,5553.5,5843.5,0
TATAELXSI,1970-01-01 00:00:00.000000101,HOLD,5843.5,5752.5,0
TATAELXSI,1970-01-01 00:00:00.000000102,HOLD,5752.5,5721.5,0
TATAELXSI,1970-01-01 00:00:00.000000103,HOLD,5721.5,5685.0,0
TATAELXSI,1970-01-01 00:00:00.000000104,HOLD,5685.0,5707.0,0
TATAELXSI,1970-01-01 00:00:00.000000105,HOLD,5707.0,5683.0,0
TATAELXSI,1970-01-01 00:00:00.000000106,HOLD,5683.0,5733.5,0
TATAELXSI,1970-01-01 00:00:00.000000107,HOLD,5733.5,5722.5,0
TATAELXSI,1970-01-01 00:00:00.000000108,HOLD,5722.5,5607.0,0
TATAELXSI,1970-01-01 00:00:00.000000109,HOLD,5607.0,5555.5,0
TATAELXSI,1970-01-01 00:00:00.000000110,HOLD,5555.5,5504.5,0
TATAELXSI,1970-01-01 00:00:00.000000111,HOLD,5504.5,5461.5,0
TATAELXSI,1970-01-01 00:00:00.000000112,HOLD,5461.5,5303.0,0
TATAELXSI,1970-01-01 00:00:00.000000113,HOLD,5303.0,5301.0,0
TATAELXSI,1970-01-01 00:00:00.000000114,HOLD,5301.0,5227.0,0
TATAELXSI,1970-01-01 00:00:00.000000115,HOLD,5227.0,5226.0,0
TATAELXSI,1970-01-01 00:00:00.000000116,HOLD,5226.0,5355.5,0
